grupo,alias_name,alias_key,official_name,official_key,decision,source_sheet
validacion-final-7,GRAFICA VELTON SOCIEDAD ANONIM,GRAFICA VELTON SOCIEDAD ANONIM,GRAFICA VELTON SOCIEDAD ANONIMA,GRAFICA VELTON,unificar,Validación Final v2
32,GRUPO LUMBRERA S.A.S.,GRUPO LUMBRERA S,GRUPO LUMBRERA S.A.S,GRUPO LUMBRERA S,unificar,G-M
33,Grupo Mónaco,GRUPO MONACO,Grupo Mónaco,GRUPO MONACO,unificar,G-M
34,Home Collection,HOME COLLECTION,Home Collection,HOME COLLECTION,unificar,G-M
35,Imágenes del Parque,IMAGENES DEL PARQUE,Imágenes del Parque,IMAGENES DEL PARQUE,unificar,G-M
36,INSTITUTO BIOLOGICO CONTEMPORA,INSTITUTO BIOLOGICO CONTEMPORA,INSTITUTO BIOLOGICO CONTEMPORA,INSTITUTO BIOLOGICO CONTEMPORA,unificar,G-M
36,INSTITUTO BIOLOGICO CONTEMPORANEO SA,INSTITUTO BIOLOGICO CONTEMPORANEO,INSTITUTO BIOLOGICO CONTEMPORA,INSTITUTO BIOLOGICO CONTEMPORA,unificar,G-M
37,INVESTIGACION CLINICA APLICADA SRL,INVESTIGACION CLINICA APLICADA,INVESTIGACION CLINICA APLICADA,INVESTIGACION CLINICA APLICADA,unificar,G-M
38,IT Patagonia,IT PATAGONIA,IT Patagonia,IT PATAGONIA,unificar,G-M
validacion-final-8,LA MANTOVANA DE SERVICIOS,LA MANTOVANA DE SERVICIOS,LA MANTOVANA DE SERVICIOS,LA MANTOVANA DE SERVICIOS,unificar,Validación Final v2
